# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   54       2.022028833285e-10       2.028848174545e-14      -3.334465717645e-14       0.000000000000e+00       4.506639009846e-11       4.924071514175e-12      -8.723169587133e-15 
   55       2.050135286428e-10       2.148237820265e-14      -6.547106146238e-14       0.000000000000e+00       4.326211145060e-11       4.744500334449e-12      -9.176936918819e-15 
   56       2.078527830546e-10       2.271558281626e-14      -9.942071315312e-14       0.000000000000e+00       4.155904884431e-11       4.574693386193e-12      -9.702392061677e-15 
   57       2.107211536007e-10       2.398826163625e-14      -1.352036760200e-13       0.000000000000e+00       3.994964352358e-11       4.414176203886e-12      -1.022726320088e-14 
   58       2.136178732777e-10       2.530055673139e-14      -1.728280086910e-13       0.000000000000e+00       3.842257725533e-11       4.262137085602e-12      -1.066846431257e-14 
   59       2.165416927244e-10       2.665248064528e-14      -2.122965132571e-13       0.000000000000e+00       3.696588730952e-11       4.117652783308e-12      -1.095233848720e-14 
   60       2.194936803194e-10       2.804357108506e-14      -2.535961315645e-13       0.000000000000e+00       3.557764322754e-11       3.980471852911e-12      -1.108195700548e-14 
   61       2.224749098103e-10       2.947315594299e-14      -2.967060569866e-13       0.000000000000e+00       3.425737488916e-11       3.850378468926e-12      -1.108463694275e-14 
   62       2.254855718199e-10       3.094044833371e-14      -3.416006337352e-13       0.000000000000e+00       3.300286154880e-11       3.726951594946e-12      -1.099281919498e-14 
   63       2.285249112013e-10       3.244454304074e-14      -3.882492329434e-13       0.000000000000e+00       3.181003023396e-11       3.609553460459e-12      -1.084429554921e-14 
   64       2.315911643933e-10       3.398441296292e-14      -4.366161287488e-13       0.000000000000e+00       3.067285414377e-11       3.497318037673e-12      -1.068243575403e-14 
   65       2.346825249989e-10       3.555902089482e-14      -4.866680275176e-13       0.000000000000e+00       2.958501532808e-11       3.389382620946e-12      -1.054639621729e-14 
   66       2.378004189116e-10       3.716769036449e-14      -5.383987872017e-13       0.000000000000e+00       2.854553021249e-11       3.285665452077e-12      -1.043882589738e-14 
   67       2.409468128698e-10       3.880980721253e-14      -5.918097270688e-13       0.000000000000e+00       2.755413736030e-11       3.186232670458e-12      -1.035170677980e-14 
   68       2.441232141883e-10       4.048471086700e-14      -6.469025249778e-13       0.000000000000e+00       2.660958704450e-11       3.091065107518e-12      -1.027571658260e-14 
