#Table1
ra,dec,z
227.004290381021,-0.286888640292793,0.09014273
227.107327849188,-0.266261185123725,0.09032114
228.851915325639,-0.34017349101393,0.09954324
228.855089036626,-0.324811708956135,0.09964198
230.102305375133,-0.2252260569216,0.02870046
230.89159883383,-0.395925931377392,0.02883187
230.870730690013,-0.386861086584098,0.02847699
232.688151658266,-0.36986204531429,0.03795296
232.822053636629,-0.34624454053828,0.038165
232.944098755711,-0.305744148726002,0.08401494
233.628420863159,-0.36827436006748,0.09578907
234.446723608374,-0.349505993858061,0.09560766
235.37244917928,-0.369852301791854,0.09539229
237.125386519884,-0.367077825091116,0.06234364
239.084794485907,-0.271211122574792,0.03941562
241.718561781226,-0.256342004831633,0.07184925
242.578737662668,-0.234715215652643,0.08035378
246.117493522251,-0.323385968573402,0.05545625
247.031131759973,-0.295282255152567,0.04658657
247.576845123155,-0.352280753614174,0.08397971
183.864379023055,0.0192007114116613,0.1002423
184.189573804239,0.0994824678579993,0.07208736
187.113033372633,0.142407915556299,0.0229938
187.152469675413,0.199400236364474,0.1103187
188.759164863544,0.0376443103797407,0.02279919
188.765654081064,0.108437691001226,0.08034749
189.497573160587,0.149382725592519,0.08963352
189.501570254445,0.138225418254536,0.08979167
189.753225728919,0.124837446897283,0.07200869
189.968744456344,0.125485316929305,0.02283781
191.778074638922,0.209589201044239,0.09007595
192.074502809308,0.06520106577342,0.07165621
192.208506084723,0.116454015763085,0.07161345
192.464969643179,0.198233279287912,0.04678359
193.008863607309,0.0684857224382414,0.08375064
193.345042534465,0.0111364579395916,0.08403742
193.522406027376,0.175310184545937,0.0227484
195.61544666031,0.141526472807028,0.06776057
196.492861297259,0.0598518504842305,0.08411138
197.187148201189,0.19374326899936,0.08361565
197.728206701264,0.179692258293224,0.09594817
197.737654144996,0.17312891981974,0.09537647
197.755118026641,0.053031603705322,0.09618144
197.762896009624,0.0521777219393155,0.09608272
198.189499161968,0.189733736235335,0.08414438
199.918750034275,0.13749653274777,0.1108392
200.000471721911,0.0940293519403775,0.1107068
